V01,V02,V03,V04,V05,V06,V07,V08,V09,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,class,target
9.24,3.19,9.89,22.06,5.98,15.68,3.58,13.54,2.69,12.83,19.36,19.18,27.51,12.68,10.64,6.78,20.69,50.68,10.72,3.81,30.76,37.02,14.47,20.06,2.66,26.77,16.33,29.78,32.54,12.33,8.93,3.98,29.66,45.07,9.81,9.01,4,0.3757
8.61,5.04,9.16,36.59,10.17,9.22,4.31,17.15,4.49,8.39,18.49,14.20,nan,10.89,11.25,5.17,17.36,45.86,14.09,2.85,50.79,34.91,8.44,14.73,6.52,nan,17.48,38.46,45.51,13.89,17.75,4.31,45.22,30.90,4.48,9.75,1,0.4139
14.05,5.02,14.96,25.15,12.68,12.43,4.27,11.75,0.59,14.09,14.76,15.10,35.15,7.62,12.03,13.00,15.41,38.53,11.97,3.40,nan,60.49,14.04,19.92,3.33,41.21,10.20,29.26,42.62,12.31,11.73,2.78,25.95,40.20,10.82,11.07,0,0.4014
9.92,2.25,14.74,25.38,12.46,6.53,2.52,8.64,2.03,10.92,12.49,24.43,17.14,10.61,10.11,7.62,20.42,39.28,12.87,4.76,37.66,52.74,5.58,10.41,2.11,44.31,10.49,30.40,31.44,13.25,8.52,2.31,44.32,49.41,13.14,9.16,5,0.3946
9.09,4.30,6.82,21.13,5.76,8.99,4.69,13.59,4.98,19.44,21.39,6.41,23.40,8.47,nan,13.89,11.55,58.39,12.17,5.28,1.94,nan,17.18,27.48,5.40,42.21,18.09,35.88,46.22,9.36,19.32,3.40,20.81,33.73,nan,12.20,3,0.3828
nan,1.61,21.21,38.58,6.76,3.29,2.46,20.59,4.19,12.02,21.11,18.55,24.20,7.56,6.83,6.91,7.00,46.07,12.71,5.70,nan,73.27,10.46,24.40,3.80,55.28,nan,0.00,32.73,14.55,4.19,2.71,31.90,54.43,11.75,6.95,4,0.3991
9.48,3.07,15.59,26.50,9.06,8.65,5.38,nan,3.52,12.03,18.87,18.74,22.18,12.91,12.24,4.00,10.39,34.52,16.57,5.40,25.46,55.86,16.84,22.30,2.66,34.60,14.34,18.50,31.16,14.08,7.44,4.21,43.09,37.73,10.41,11.07,4,0.3837
11.74,1.75,3.76,38.68,11.44,9.21,nan,nan,4.02,8.48,8.21,12.78,nan,5.86,7.90,7.55,12.85,48.39,18.58,4.96,43.50,58.00,13.04,17.32,3.22,44.92,8.49,38.51,52.31,10.33,19.20,2.91,45.07,19.82,10.26,7.63,1,0.4288
13.14,3.70,13.28,10.88,5.99,9.02,4.10,8.50,nan,18.98,nan,19.55,13.28,8.97,13.54,5.77,10.62,32.53,12.30,3.28,21.25,65.98,8.44,16.44,2.35,37.43,16.77,46.40,32.98,12.84,9.94,3.82,27.53,35.08,8.73,15.80,1,0.3653
10.32,4.85,8.37,39.19,5.81,12.43,3.67,15.01,1.98,9.81,nan,nan,nan,5.47,12.94,2.71,20.55,44.32,11.95,4.79,33.09,39.11,12.11,20.92,2.09,18.46,13.78,38.69,nan,19.60,16.62,1.65,37.80,38.17,9.19,17.56,1,0.3904
13.51,5.20,7.27,28.69,11.57,8.93,3.10,10.95,4.68,7.77,10.02,11.99,23.43,7.69,6.05,6.90,17.45,34.27,12.83,2.53,nan,65.30,9.62,13.07,4.13,31.91,7.87,31.04,53.79,13.45,7.33,4.53,32.78,35.74,8.90,10.69,2,0.3821
11.87,3.55,13.47,21.48,8.53,6.86,2.23,13.98,4.19,13.81,19.49,9.80,13.43,9.87,12.44,7.72,13.81,29.45,17.17,4.60,10.19,68.46,16.05,19.62,3.98,33.53,7.30,23.76,44.36,11.52,5.71,2.29,24.85,29.71,9.21,nan,0,0.3467
9.94,4.44,9.15,41.28,13.65,8.32,3.14,18.48,1.39,9.53,14.12,9.92,34.02,12.06,13.20,6.57,16.87,41.54,14.68,4.94,37.84,nan,13.68,22.76,4.16,30.37,12.52,27.67,38.96,16.14,14.38,2.81,35.33,32.63,5.34,14.08,0,0.4005
19.14,2.21,14.89,nan,13.04,10.93,2.70,20.63,2.24,18.98,15.78,13.03,28.36,10.37,11.96,7.29,13.98,49.86,15.20,3.44,36.81,66.77,7.80,19.22,4.30,58.19,9.91,38.41,39.00,18.32,12.81,2.56,20.36,31.31,8.00,9.87,0,0.4312
9.53,5.53,15.31,25.24,11.14,12.37,4.02,14.94,4.88,11.16,20.74,17.82,nan,9.85,11.30,8.35,11.46,47.92,16.48,3.33,21.86,57.68,12.66,24.56,3.14,36.12,9.23,15.85,37.45,17.88,4.39,3.05,nan,47.79,11.72,9.14,4,0.3906
18.40,3.38,15.13,24.95,11.67,13.00,5.53,11.09,nan,13.77,9.12,16.02,34.18,7.37,9.89,9.76,10.77,20.35,20.73,5.45,43.63,60.17,14.93,16.24,2.29,48.43,13.74,32.75,43.75,18.16,10.47,2.72,39.69,26.89,6.61,9.89,1,0.4233
12.76,5.29,16.71,30.47,8.43,10.39,3.26,13.59,3.51,5.95,17.82,nan,33.56,nan,10.81,6.09,12.26,27.97,11.85,5.70,27.89,55.10,15.21,19.66,4.45,35.54,15.85,10.54,38.39,nan,4.99,3.11,40.20,45.46,12.26,6.49,4,0.3902
11.43,5.36,13.84,62.66,12.33,nan,nan,14.35,4.80,13.04,14.46,17.36,27.07,2.09,9.17,5.81,25.09,29.16,7.57,4.52,35.82,nan,11.22,10.57,3.00,44.63,10.40,22.86,47.81,15.67,7.81,2.95,23.68,29.81,0.00,1.85,5,0.3798
14.48,3.94,9.66,39.45,13.03,15.96,5.34,17.92,3.56,11.68,7.52,23.58,51.63,16.74,11.94,6.79,26.43,49.07,12.54,4.61,65.30,23.65,16.80,nan,0.75,44.07,15.87,37.80,21.37,11.22,20.28,2.38,56.00,33.01,11.51,6.99,1,0.4659
14.00,nan,9.18,34.45,2.69,11.25,5.05,13.62,2.64,7.06,22.05,10.02,31.97,13.49,13.58,6.37,19.54,50.55,6.47,4.99,33.67,35.75,11.57,17.86,2.50,27.07,11.05,45.10,65.16,13.17,21.89,3.48,23.93,35.47,3.66,nan,4,0.3808
10.94,3.30,nan,22.54,9.83,8.87,4.69,14.26,4.09,14.13,6.53,18.84,26.31,14.23,12.90,7.89,6.45,40.78,12.64,4.00,35.83,68.42,8.61,12.33,2.04,47.23,10.27,nan,33.39,13.16,12.70,5.18,43.78,33.77,10.44,10.14,1,0.4140
10.99,5.66,12.98,29.99,8.74,10.25,2.81,13.04,4.16,7.90,23.53,11.94,25.44,14.99,11.33,5.98,13.38,54.46,11.36,2.79,38.37,41.71,9.14,nan,4.35,40.07,13.61,36.53,57.58,16.40,18.97,2.68,nan,42.02,8.21,7.98,4,0.4150
14.52,5.44,13.72,23.35,12.27,1.57,5.40,13.93,1.99,13.51,24.63,3.50,8.83,13.98,17.25,9.02,11.18,14.10,18.79,5.65,28.11,57.41,14.61,9.78,3.65,53.50,13.58,40.74,59.25,11.10,15.11,2.87,34.28,5.68,1.23,10.22,0,0.3640
16.99,3.41,16.83,28.46,10.45,6.01,2.58,12.48,4.09,12.42,17.96,16.76,26.89,5.66,nan,8.70,10.93,34.19,13.04,4.02,17.05,70.09,11.66,18.67,3.63,nan,8.89,18.79,48.88,13.34,8.76,2.97,31.33,43.11,11.67,13.32,4,0.4016
6.84,3.73,8.80,34.90,7.86,11.77,4.49,19.28,2.89,16.96,20.17,20.36,25.77,10.48,13.35,4.92,12.65,60.47,11.96,2.89,24.33,44.36,14.23,22.26,3.41,37.81,16.37,29.48,28.43,17.89,9.79,2.83,26.94,34.40,8.74,8.50,4,0.3884
12.24,5.56,9.08,31.15,8.47,11.56,3.07,13.70,2.07,10.91,8.85,13.25,nan,7.75,10.09,5.37,16.26,29.33,10.02,1.99,38.97,64.64,12.16,nan,0.76,29.07,11.60,39.46,46.79,8.68,9.79,3.49,30.33,24.90,3.86,9.16,4,0.3722
13.93,4.56,12.38,34.95,19.59,5.04,2.68,5.29,4.94,13.00,6.50,17.19,21.24,2.23,8.90,9.57,20.39,12.46,14.46,4.11,39.40,71.25,10.48,6.16,2.96,48.33,11.28,31.91,44.86,13.48,6.26,0.32,39.74,26.05,8.30,7.76,5,0.3950
10.43,5.09,11.08,30.06,6.08,4.52,3.63,15.21,2.10,13.03,18.16,11.78,21.43,12.95,11.27,11.71,21.85,51.86,12.61,5.96,19.61,nan,10.37,20.07,2.60,41.26,11.74,29.36,37.80,12.59,16.45,4.41,28.76,47.35,nan,11.54,0,0.3798
9.81,4.42,8.43,31.41,8.14,6.39,4.38,14.06,nan,15.67,nan,6.61,12.07,8.81,15.38,5.60,17.30,45.32,16.29,4.87,12.47,58.35,14.81,21.49,3.70,32.44,9.90,38.70,47.33,16.68,14.69,3.12,24.95,23.81,10.69,10.64,0,0.3598
20.37,4.56,13.30,31.67,14.52,7.81,3.98,12.08,2.51,4.79,16.56,12.48,44.90,13.99,6.39,13.02,18.98,34.44,9.13,4.08,41.34,45.82,12.12,14.18,1.50,48.05,11.10,20.49,56.76,13.14,15.31,1.33,39.85,48.81,nan,12.01,4,0.4351
7.55,5.56,4.89,36.65,15.00,19.81,6.11,20.18,3.94,12.29,3.57,24.06,59.19,13.49,8.13,14.99,24.42,53.45,14.21,4.31,62.05,18.52,21.40,12.06,2.31,47.58,nan,27.20,13.16,7.58,15.30,3.34,58.72,31.75,12.59,nan,1,0.4689
14.24,1.91,7.68,9.14,9.95,12.70,4.23,nan,1.16,9.58,10.49,20.50,28.47,10.43,16.05,6.83,0.00,24.48,4.36,4.31,17.30,75.95,14.69,8.15,3.86,22.97,7.54,46.35,57.54,10.78,5.37,nan,25.53,20.41,9.53,12.87,5,0.3492
7.91,4.20,nan,38.78,9.79,10.84,2.71,19.48,2.62,12.05,20.46,16.08,31.51,15.54,3.62,10.11,14.46,72.56,8.93,2.80,37.57,43.59,7.23,14.16,3.79,52.36,5.88,29.32,55.06,13.96,15.62,nan,36.06,48.46,6.03,8.69,4,0.4339
10.43,3.02,11.00,30.29,10.16,8.13,3.26,11.00,4.26,10.62,16.37,nan,24.33,13.58,8.30,7.76,19.07,39.83,12.94,nan,35.38,48.76,12.88,18.33,4.72,nan,14.20,nan,45.52,12.71,13.51,5.37,39.09,40.92,7.12,nan,4,0.3921
14.12,6.02,9.93,26.19,10.32,9.19,4.43,14.49,3.38,6.27,20.92,15.77,32.55,17.66,10.37,5.61,10.63,40.87,12.99,5.64,42.33,nan,14.86,16.69,2.34,39.62,14.45,28.87,50.35,nan,15.56,2.88,47.21,33.47,7.81,12.18,4,0.4149
12.23,2.24,18.02,28.15,6.16,14.02,6.28,12.89,3.43,nan,24.58,8.14,30.82,7.47,14.82,5.15,1.53,44.04,10.13,2.80,19.01,67.31,14.87,23.21,2.22,36.26,8.70,38.15,74.22,11.25,19.50,3.41,31.81,26.48,9.08,5.71,3,0.4007
8.46,3.20,10.62,30.91,7.06,9.86,4.18,nan,3.56,10.83,24.62,10.29,13.85,11.63,11.65,nan,21.15,44.87,15.28,3.16,35.92,42.80,12.16,23.94,3.17,28.66,17.07,34.00,47.49,12.33,14.95,2.43,31.06,36.11,4.76,6.98,2,0.3698
14.54,4.20,11.70,37.36,nan,8.49,3.89,11.20,1.98,13.68,11.46,17.84,19.81,7.72,9.96,5.42,25.28,25.40,15.93,4.93,46.19,58.68,10.69,11.99,2.44,38.96,nan,32.23,38.55,14.68,5.98,2.21,29.15,29.38,4.01,6.89,5,0.3807
9.25,1.18,10.75,35.60,7.23,7.52,4.38,11.06,3.09,10.66,12.28,24.95,25.89,5.80,4.69,3.46,12.89,32.50,15.79,6.37,35.50,47.99,16.31,12.40,3.32,42.56,15.44,21.62,38.48,12.24,9.22,1.87,58.03,32.17,10.69,9.52,1,0.4007
8.06,3.94,15.98,51.12,11.40,4.75,4.64,12.00,2.45,14.44,10.22,21.30,29.24,8.25,16.08,8.93,29.12,25.29,15.83,4.74,41.30,33.53,16.84,6.39,5.46,46.50,8.67,39.26,34.42,9.37,20.95,1.50,53.60,19.36,5.33,7.13,1,0.4025
13.52,4.58,10.76,nan,16.28,17.39,3.11,6.37,3.81,12.19,8.42,24.53,29.82,nan,12.81,9.22,7.59,30.58,14.36,2.18,47.68,54.35,nan,2.68,1.87,41.71,7.53,41.76,43.64,15.52,4.64,3.09,nan,21.00,12.02,3.86,5,0.4129
13.92,2.80,13.17,33.18,7.77,11.65,2.69,21.43,4.56,8.39,6.20,7.70,50.77,14.54,5.49,11.55,7.69,36.75,10.45,4.92,42.61,52.90,15.88,8.66,1.51,50.47,11.78,30.57,52.82,11.08,17.48,3.42,55.79,28.38,7.81,11.29,3,0.4458
5.91,5.02,17.62,24.68,nan,16.74,5.45,9.14,2.95,5.05,22.38,10.29,34.58,5.49,nan,9.63,2.39,30.12,12.04,3.20,35.96,48.03,13.80,nan,4.01,35.56,17.31,42.06,70.16,12.35,19.26,3.32,45.75,23.57,4.85,5.74,3,0.4079
12.30,2.50,12.40,40.90,10.75,15.30,2.83,15.96,3.35,9.55,6.83,6.09,46.21,12.14,9.53,4.47,8.54,39.65,9.99,5.65,45.79,59.93,16.39,11.93,1.92,33.69,6.84,48.62,68.12,14.08,22.13,4.49,51.29,15.85,5.37,11.56,3,0.4396
6.90,4.56,8.89,42.77,8.49,8.35,4.93,15.17,5.85,8.76,13.96,14.73,29.90,7.12,10.11,6.22,17.34,35.18,16.22,3.58,nan,42.73,16.17,18.52,1.45,31.72,14.72,26.19,42.30,12.74,13.93,nan,44.72,28.31,4.62,9.73,1,0.3902
9.32,4.66,12.46,nan,15.62,nan,2.75,23.01,2.08,14.84,6.77,28.28,54.26,14.87,11.42,nan,30.12,50.82,20.48,3.94,68.95,9.96,17.72,9.83,nan,59.48,11.99,31.34,9.01,7.57,19.78,nan,61.31,30.65,8.80,7.12,1,0.4825
12.29,5.67,16.95,34.49,7.70,10.09,5.96,23.34,4.81,10.27,13.92,5.97,31.63,13.82,12.38,3.19,6.24,37.83,14.27,4.58,28.45,66.20,16.09,16.36,4.67,42.81,10.20,24.30,44.60,18.00,10.59,2.42,46.34,25.79,12.01,7.61,3,0.4109
12.49,5.71,12.98,18.23,11.77,13.36,5.06,13.55,3.74,12.55,14.21,nan,33.38,14.42,12.38,11.96,11.21,20.21,12.42,3.89,31.33,48.33,19.51,5.72,1.87,42.03,16.21,39.49,57.14,14.82,12.70,2.26,46.66,15.81,7.81,10.55,4,0.3951
12.53,3.12,7.00,27.86,17.53,12.70,5.35,13.66,3.55,9.42,3.82,29.13,43.31,16.85,15.13,11.66,11.92,36.79,13.35,4.81,56.87,47.24,13.87,nan,1.03,nan,10.53,33.58,23.10,13.60,8.03,2.69,41.74,29.42,7.60,6.54,5,0.4273
16.64,3.90,9.19,26.31,11.82,8.27,4.91,13.62,3.47,18.48,13.37,20.42,21.44,8.35,12.13,nan,8.34,44.11,16.65,4.34,27.40,73.27,13.08,21.45,nan,51.46,12.51,34.64,32.99,14.58,9.75,4.07,24.86,25.76,11.27,7.65,5,0.4066
